"Name";"BlueFolderPath"
"alfossis01";"/Other OSS Teams Solutions/OSS-IS/Tools"
"alfvm04";"/Citrix/Citrix Servers/PT Production"
"alfx650803";"/Citrix/Citrix Servers/PT Production"
"alfvm02";"/Citrix/Citrix Servers/PT Production"
"alfvmrviewsrv01";"/Citrix/Citrix Servers/PT Production"
"vfpt-osswpedev";"/Other OSS Teams Solutions/OSS-IS/WPE"
"alfvmanoc09";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvm06";"/Citrix/Citrix Servers/PT Production"
"alfx65dc01";"/Citrix/Citrix Servers/PT Production"
"alfvmpwi01";"/Citrix/Citrix Servers/PT Production"
"alfvm13";"/Citrix/Citrix Servers/PT Production"
"alfvmtemip04";"/Citrix/Citrix Servers/PT Production"
"alfvmanie01";"/Citrix/Citrix Servers/ANOC IE Production"
"alfvmpwi02";"/Citrix/Citrix Servers/PT Production"
"alfx650801";"/Citrix/Citrix Servers/PT Production"
"alfx65intgrph03";"/Citrix/Citrix Servers/PT Production"
"alfx650816";"/Citrix/Citrix Servers/PT Production"
"alfx650812";"/Citrix/Citrix Servers/PT Production"
"alfvmanuk01";"/Citrix/Citrix Servers/ANOC UK Production"
"alfvmcra04";"/Citrix/Citrix Servers/PT Production"
"ptovodev1";"/Other OSS Teams Solutions/OSS-IS/OVO"
"osstransfer01";"/Infrastructure/Management Servers/File Servers"
"alfx503tst0802";"/Citrix/Citrix Servers/PT Laboratory"
"alfvm16";"/Citrix/Citrix Servers/PT Production"
"alfvmtst0301";"/Citrix/Citrix Servers/PT Laboratory"
"alfvmanietst02";"/Citrix/Citrix Servers/ANOC IE Laboratory"
"alfvmanoctst02";"/Citrix/Citrix Servers/ANOC ES Laboratory"
"alfx650810";"/Citrix/Citrix Servers/PT Production"
"alfdns1e";"/NE Systems/OSS Ericsson/DNS"
"alfvmftpsrv01";"/Citrix/Citrix Servers/PT Production"
"alfx650802";"/Citrix/Citrix Servers/PT Production"
"alfvmcra01";"/Citrix/Citrix Servers/PT Production"
"alfx65anoc01";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmmon06";"/Citrix/Citrix Servers/PT Production"
"alfvmes04";"/Citrix/Citrix Servers/PT Production"
"alfctx2008";"/Citrix/Citrix Servers/PT StandBy"
"alfx65geomdia01";"/Citrix/Citrix Servers/PT Production"
"alfvmtnms01";"/Citrix/Citrix Servers/PT Production"
"alfvmmon04";"/Citrix/Citrix Servers/PT Production"
"alfvm07";"/Citrix/Citrix Servers/PT Production"
"alfx65tst0801";"/Citrix/Citrix Servers/PT Laboratory"
"alfvm17";"/Citrix/Citrix Servers/PT Production"
"alfvm10";"/Citrix/Citrix Servers/PT Production"
"alfvm15";"/Citrix/Citrix Servers/PT Production"
"alfx65mon01";"/Citrix/Citrix Servers/PT Production"
"alfvmanocczt09";"/Citrix/Citrix Servers/ANOC ES Production"
"alfx530804x64";"/Citrix/Citrix Seguro/VMs created with Final Templates"
"alfunix01";"/Citrix/Citrix Servers/PT Production"
"alfvmtemip02";"/Citrix/Citrix Servers/PT Laboratory"
"alfx650806old";"/Citrix/Citrix Servers/PT Production"
"alfvmanoc10";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvm01";"/Citrix/Citrix Servers/PT Production"
"alfx65tst0802";"/Citrix/Citrix Servers/PT Laboratory"
"alfvm09";"/Citrix/Citrix Servers/PT Production"
"alfanoctemip01";"/Citrix/Citrix Servers/ANOC ES Laboratory"
"alfx650806";"/Citrix/Citrix Servers/PT Production"
"alfbsdssrv1";"/Other OSS Teams Solutions/OSS-IS/Geo"
"alfvmmon01";"/Citrix/Citrix Servers/PT Production"
"alfx65intgrph01";"/Citrix/Citrix Servers/PT Production"
"alfx65anie02";"/Citrix/Citrix Servers/ANOC IE Production"
"alfx6508mon06";"/Citrix/Citrix Servers/PT Production"
"alfvm08";"/Citrix/Citrix Servers/PT Production"
"alfvmtemip07";"/Citrix/Citrix Servers/PT Production"
